,time,t2m
15368,2017-07-09,14.176422
15369,2017-07-09,12.383942
15370,2017-07-09,12.457428
15371,2017-07-09,18.029938
15372,2017-07-10,13.260895
15373,2017-07-10,11.953522
15374,2017-07-10,13.443024
15375,2017-07-10,21.200104
15376,2017-07-11,15.141266
15377,2017-07-11,11.148834
15378,2017-07-11,14.219635
15379,2017-07-11,21.819
15380,2017-07-12,14.809235
15381,2017-07-12,12.326813
15382,2017-07-12,13.459137
15383,2017-07-12,21.637848
15384,2017-07-13,14.028961
15385,2017-07-13,11.48111
15386,2017-07-13,12.376617
15387,2017-07-13,22.088287
15388,2017-07-14,15.101715
15389,2017-07-14,12.117096
15390,2017-07-14,14.014557
15391,2017-07-14,21.900787
15392,2017-07-15,15.594879
15393,2017-07-15,12.521149
15394,2017-07-15,14.400055
15395,2017-07-15,22.292877
15396,2017-07-16,16.1232
15397,2017-07-16,13.635162
15398,2017-07-16,16.515533
15399,2017-07-16,21.37735
15400,2017-07-17,17.439117
15401,2017-07-17,9.126862
15402,2017-07-17,4.2377014
15403,2017-07-17,3.3265686
15404,2017-07-18,-1.3321228
15405,2017-07-18,-2.730072
15406,2017-07-18,-1.7142029
15407,2017-07-18,9.60733
15408,2017-07-19,0.33755493
15409,2017-07-19,-0.85995483
15410,2017-07-19,3.1612854
15411,2017-07-19,14.626862
15412,2017-07-20,4.633209
15413,2017-07-20,3.575348
15414,2017-07-20,6.8070374
15415,2017-07-20,16.769196
15416,2017-07-21,8.152252
15417,2017-07-21,5.4984436
15418,2017-07-21,9.040192
15419,2017-07-21,17.863434
15420,2017-07-22,10.32486
15421,2017-07-22,4.113922
15422,2017-07-22,8.216217
15423,2017-07-22,19.694244
15424,2017-07-23,11.058014
15425,2017-07-23,8.972321
15426,2017-07-23,11.421295
15427,2017-07-23,21.780182
15428,2017-07-24,14.999908
15429,2017-07-24,13.013824
15430,2017-07-24,14.681793
15431,2017-07-24,24.253326
15432,2017-07-25,17.510162
15433,2017-07-25,14.067291
15434,2017-07-25,15.130035
15435,2017-07-25,24.34439
15436,2017-07-26,15.139069
15437,2017-07-26,10.868561
15438,2017-07-26,14.713043
15439,2017-07-26,22.823395
15440,2017-07-27,13.877838
15441,2017-07-27,11.493805
15442,2017-07-27,13.175934
15443,2017-07-27,22.386627
15444,2017-07-28,14.482819
15445,2017-07-28,10.310699
15446,2017-07-28,10.956451
15447,2017-07-28,20.415436
15448,2017-07-29,13.1336975
15449,2017-07-29,10.889801
15450,2017-07-29,11.959381
15451,2017-07-29,22.178864
15452,2017-07-30,14.525543
15453,2017-07-30,11.637848
15454,2017-07-30,13.378571
15455,2017-07-30,21.889313
15456,2017-07-31,14.095123
15457,2017-07-31,11.806793
15458,2017-07-31,14.099762
15459,2017-07-31,21.526031
15460,2017-08-01,14.541168
15461,2017-08-01,11.617096
15462,2017-08-01,13.712555
15463,2017-08-01,20.547028
15464,2017-08-02,13.910797
15465,2017-08-02,12.94693
15466,2017-08-02,13.93985
15467,2017-08-02,17.436432
15468,2017-08-03,12.511139
15469,2017-08-03,10.938873
15470,2017-08-03,11.341705
15471,2017-08-03,12.202057
15472,2017-08-04,9.030426
15473,2017-08-04,6.390045
15474,2017-08-04,7.5038147
15475,2017-08-04,18.570953
15476,2017-08-05,11.380768
15477,2017-08-05,7.764801
15478,2017-08-05,8.4964905
15479,2017-08-05,17.38272
15480,2017-08-06,10.658356
15481,2017-08-06,7.800934
15482,2017-08-06,9.550934
15483,2017-08-06,18.116608
15484,2017-08-07,11.829498
15485,2017-08-07,8.799225
15486,2017-08-07,10.900787
15487,2017-08-07,21.460358
15488,2017-08-08,15.2586975
15489,2017-08-08,12.650543
15490,2017-08-08,16.50821
15491,2017-08-08,16.993317
15492,2017-08-09,15.0277405
15493,2017-08-09,11.14444
15494,2017-08-09,13.36734
15495,2017-08-09,21.529205
15496,2017-08-10,12.540924
15497,2017-08-10,9.749176
15498,2017-08-10,16.240875
15499,2017-08-10,25.461823
15500,2017-08-11,17.13736
15501,2017-08-11,11.090485
15502,2017-08-11,12.149811
15503,2017-08-11,22.109283
15504,2017-08-12,15.610992
15505,2017-08-12,12.585846
15506,2017-08-12,14.423492
15507,2017-08-12,22.220367
15508,2017-08-13,19.366852
15509,2017-08-13,17.176422
15510,2017-08-13,17.394196
15511,2017-08-13,15.89151
15512,2017-08-14,10.919586
15513,2017-08-14,8.853668
15514,2017-08-14,9.317535
15515,2017-08-14,18.454742
15516,2017-08-15,11.353912
15517,2017-08-15,10.52359
15518,2017-08-15,11.69278
15519,2017-08-15,17.921295
15520,2017-08-16,13.50235
15521,2017-08-16,12.058746
15522,2017-08-16,14.700592
15523,2017-08-16,20.609283
15524,2017-08-17,12.73111
15525,2017-08-17,9.944
15526,2017-08-17,11.308746
15527,2017-08-17,20.38321
15528,2017-08-18,12.6197815
15529,2017-08-18,9.014069
15530,2017-08-18,11.356354
15531,2017-08-18,20.18399
15532,2017-08-19,13.80069
15533,2017-08-19,13.076569
15534,2017-08-19,13.931793
15535,2017-08-19,16.531403
15536,2017-08-20,15.492828
15537,2017-08-20,13.108795
15538,2017-08-20,11.033112
15539,2017-08-20,12.089508
15540,2017-08-21,5.9149475
15541,2017-08-21,1.403717
15542,2017-08-21,5.146881
15543,2017-08-21,15.876373
15544,2017-08-22,8.605133
15545,2017-08-22,3.542389
15546,2017-08-22,7.2167053
15547,2017-08-22,17.9357
15548,2017-08-23,12.165924
15549,2017-08-23,10.725739
15550,2017-08-23,13.445221
15551,2017-08-23,23.50821
15552,2017-08-24,16.630768
15553,2017-08-24,14.172028
15554,2017-08-24,15.866119
15555,2017-08-24,25.694733
15556,2017-08-25,18.148834
15557,2017-08-25,15.098785
15558,2017-08-25,15.49527
15559,2017-08-25,23.242828
15560,2017-08-26,16.070953
15561,2017-08-26,13.0243225
15562,2017-08-26,15.785797
15563,2017-08-26,26.014069
15564,2017-08-27,17.335602
15565,2017-08-27,14.373444
15566,2017-08-27,17.123688
15567,2017-08-27,21.86856
15568,2017-08-28,14.21817
15569,2017-08-28,14.366364
15570,2017-08-28,17.595123
15571,2017-08-28,25.415192
15572,2017-08-29,18.879059
15573,2017-08-29,16.1669
15574,2017-08-29,19.160797
15575,2017-08-29,28.926666
15576,2017-08-30,19.662018
15577,2017-08-30,16.763336
15578,2017-08-30,20.373444
15579,2017-08-30,26.960114
15580,2017-08-31,18.378082
15581,2017-08-31,14.086578
15582,2017-08-31,17.434967
15583,2017-08-31,23.477936
15584,2017-09-01,16.233795
15585,2017-09-01,12.028229
15586,2017-09-01,14.722809
15587,2017-09-01,23.93106
15588,2017-09-02,17.066559
15589,2017-09-02,13.278717
15590,2017-09-02,15.602936
15591,2017-09-02,25.499664
15592,2017-09-03,17.460602
15593,2017-09-03,13.8714905
15594,2017-09-03,17.542633
15595,2017-09-03,27.308746
15596,2017-09-04,19.573883
15597,2017-09-04,15.451813
15598,2017-09-04,18.589996
15599,2017-09-04,27.49234
15600,2017-09-05,18.319244
15601,2017-09-05,15.66275
15602,2017-09-05,18.860748
15603,2017-09-05,26.427155
15604,2017-09-06,17.170563
15605,2017-09-06,14.636139
15606,2017-09-06,17.364899
15607,2017-09-06,27.067291
15608,2017-09-07,19.274078
15609,2017-09-07,14.036041
15610,2017-09-07,17.109283
15611,2017-09-07,27.179352
15612,2017-09-08,19.401764
15613,2017-09-08,15.015045
15614,2017-09-08,19.102203
15615,2017-09-08,26.853912
15616,2017-09-09,18.814362
15617,2017-09-09,17.015045
15618,2017-09-09,18.939117
15619,2017-09-09,27.325592
15620,2017-09-10,21.101715
15621,2017-09-10,16.662262
15622,2017-09-10,20.535309
15623,2017-09-10,29.372467
15624,2017-09-11,22.109283
15625,2017-09-11,18.694244
15626,2017-09-11,21.080475
15627,2017-09-11,19.499908
15628,2017-09-12,16.57901
15629,2017-09-12,14.352936
15630,2017-09-12,20.354645
15631,2017-09-12,28.270416
15632,2017-09-13,19.726227
15633,2017-09-13,17.246246
15634,2017-09-13,19.115387
15635,2017-09-13,28.05069
15636,2017-09-14,22.232086
15637,2017-09-14,18.85733
15638,2017-09-14,22.027008
15639,2017-09-14,28.966705
15640,2017-09-15,19.431305
15641,2017-09-15,16.305328
15642,2017-09-15,21.584381
15643,2017-09-15,27.453278
15644,2017-09-16,18.53067
15645,2017-09-16,17.380524
15646,2017-09-16,17.836334
15647,2017-09-16,21.375153
15648,2017-09-17,14.040924
15649,2017-09-17,13.646393
15650,2017-09-17,15.206451
15651,2017-09-17,21.042877
15652,2017-09-18,15.522125
15653,2017-09-18,14.045563
15654,2017-09-18,17.989655
15655,2017-09-18,26.365387
15656,2017-09-19,19.862213
15657,2017-09-19,15.9964905
15658,2017-09-19,19.916656
15659,2017-09-19,28.613922
15660,2017-09-20,20.84732
15661,2017-09-20,18.13736
15662,2017-09-20,21.239166
15663,2017-09-20,29.07486
15664,2017-09-21,21.283844
15665,2017-09-21,17.402496
15666,2017-09-21,20.214508
15667,2017-09-21,29.605377
15668,2017-09-22,23.63858
15669,2017-09-22,15.436188
15670,2017-09-22,22.673737
15671,2017-09-22,30.243805
15672,2017-09-23,22.162018
15673,2017-09-23,17.120758
15674,2017-09-23,21.092438
15675,2017-09-23,21.684967
15676,2017-09-24,16.283112
15677,2017-09-24,15.055328
15678,2017-09-24,17.57071
15679,2017-09-24,24.173737
15680,2017-09-25,16.777252
15681,2017-09-25,14.100006
15682,2017-09-25,17.085602
15683,2017-09-25,25.488434
15684,2017-09-26,16.652496
15685,2017-09-26,12.555084
15686,2017-09-26,16.48233
15687,2017-09-26,26.057526
15688,2017-09-27,18.251617
15689,2017-09-27,15.603912
15690,2017-09-27,18.527985
15691,2017-09-27,26.055084
15692,2017-09-28,17.77066
15693,2017-09-28,15.122467
15694,2017-09-28,18.634674
15695,2017-09-28,18.399567
15696,2017-09-29,15.491119
15697,2017-09-29,12.959381
15698,2017-09-29,12.375641
15699,2017-09-29,12.850983
15700,2017-09-30,12.534332
15701,2017-09-30,12.691071
15702,2017-09-30,15.153473
15703,2017-09-30,19.953766
15704,2017-10-01,14.714996
15705,2017-10-01,13.265533
15706,2017-10-01,17.485992
15707,2017-10-01,24.779694
15708,2017-10-02,16.187408
15709,2017-10-02,12.726715
15710,2017-10-02,11.998688
15711,2017-10-02,10.812408
15712,2017-10-03,7.9840393
15713,2017-10-03,5.2294006
15714,2017-10-03,9.677399
15715,2017-10-03,17.948883
15716,2017-10-04,12.129547
15717,2017-10-04,6.5018616
15718,2017-10-04,14.997955
15719,2017-10-04,22.815826
15720,2017-10-05,15.385895
15721,2017-10-05,12.0902405
15722,2017-10-05,16.840973
15723,2017-10-05,27.019684
15724,2017-10-06,21.032867
15725,2017-10-06,16.985992
15726,2017-10-06,22.753815
15727,2017-10-06,21.73404
15728,2017-10-07,15.091705
15729,2017-10-07,14.857086
15730,2017-10-07,16.941315
15731,2017-10-07,19.230377
15732,2017-10-08,15.94693
15733,2017-10-08,12.640289
15734,2017-10-08,14.031158
15735,2017-10-08,17.646637
15736,2017-10-09,15.285309
15737,2017-10-09,14.361237
15738,2017-10-09,13.92984
15739,2017-10-09,17.102692
15740,2017-10-10,16.667145
15741,2017-10-10,14.5416565
15742,2017-10-10,16.078522
15743,2017-10-10,20.468658
15744,2017-10-11,16.388092
15745,2017-10-11,16.563873
15746,2017-10-11,21.226227
15747,2017-10-11,23.845612
15748,2017-10-12,19.77359
15749,2017-10-12,17.862457
15750,2017-10-12,21.415192
15751,2017-10-12,24.929108
15752,2017-10-13,19.798004
15753,2017-10-13,18.168854
15754,2017-10-13,21.706696
15755,2017-10-13,18.773834
15756,2017-10-14,17.100494
15757,2017-10-14,14.313629
15758,2017-10-14,14.842438
15759,2017-10-14,17.312408
15760,2017-10-15,13.625153
15761,2017-10-15,11.669342
15762,2017-10-15,15.6180725
15763,2017-10-15,19.260406
15764,2017-10-16,14.516022
15765,2017-10-16,11.473297
15766,2017-10-16,16.493805
15767,2017-10-16,25.095123
15768,2017-10-17,17.528717
15769,2017-10-17,13.7777405
15770,2017-10-17,17.41446
15771,2017-10-17,26.831207
15772,2017-10-18,19.629791
15773,2017-10-18,16.386627
15774,2017-10-18,21.275787
15775,2017-10-18,29.570953
15776,2017-10-19,23.0419
15777,2017-10-19,21.187897
15778,2017-10-19,17.248932
15779,2017-10-19,17.028961
15780,2017-10-20,13.990875
15781,2017-10-20,12.926422
15782,2017-10-20,16.19986
15783,2017-10-20,20.703766
15784,2017-10-21,16.795563
15785,2017-10-21,15.888092
15786,2017-10-21,16.789215
15787,2017-10-21,17.850494
15788,2017-10-22,15.194244
15789,2017-10-22,14.093903
15790,2017-10-22,14.140045
15791,2017-10-22,16.608063
15792,2017-10-23,9.454498
15793,2017-10-23,6.9806213
15794,2017-10-23,13.795319
15795,2017-10-23,22.345612
15796,2017-10-24,15.646881
15797,2017-10-24,11.663971
15798,2017-10-24,15.76944
15799,2017-10-24,24.735016
15800,2017-10-25,17.978668
15801,2017-10-25,12.983307
15802,2017-10-25,12.560211
15803,2017-10-25,17.810944
15804,2017-10-26,12.577301
15805,2017-10-26,11.6805725
15806,2017-10-26,17.047272
15807,2017-10-26,18.17569
15808,2017-10-27,15.119049
15809,2017-10-27,13.583649
15810,2017-10-27,18.322174
15811,2017-10-27,15.677643
15812,2017-10-28,15.47525
15813,2017-10-28,12.825592
15814,2017-10-28,14.403229
15815,2017-10-28,21.254303
15816,2017-10-29,12.242096
15817,2017-10-29,12.06192
15818,2017-10-29,19.419342
15819,2017-10-29,19.589508
15820,2017-10-30,16.348541
15821,2017-10-30,15.680328
15822,2017-10-30,15.683746
15823,2017-10-30,23.413727
15824,2017-10-31,17.016022
15825,2017-10-31,15.987457
15826,2017-10-31,16.489655
15827,2017-10-31,23.019684
15828,2017-11-01,14.5277405
15829,2017-11-01,11.402985
15830,2017-11-01,17.37735
15831,2017-11-01,24.676666
15832,2017-11-02,17.68863
15833,2017-11-02,12.336578
15834,2017-11-02,16.437653
15835,2017-11-02,25.520905
15836,2017-11-03,18.660309
15837,2017-11-03,13.046539
15838,2017-11-03,11.635651
15839,2017-11-03,19.023834
15840,2017-11-04,13.472809
15841,2017-11-04,14.175446
15842,2017-11-04,15.531158
15843,2017-11-04,15.799713
15844,2017-11-05,12.923737
15845,2017-11-05,13.133209
15846,2017-11-05,16.584625
15847,2017-11-05,23.079254
15848,2017-11-06,16.700104
15849,2017-11-06,13.535553
15850,2017-11-06,17.703522
15851,2017-11-06,22.733551
15852,2017-11-07,16.549225
15853,2017-11-07,12.7916565
15854,2017-11-07,17.673492
15855,2017-11-07,25.611969
15856,2017-11-08,18.285797
15857,2017-11-08,13.582672
