,time,latitude,longitude,number,step,surface,valid_time,pm2p5
183,2006-09-15 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-15 18:00:00,4.9913595e-08
184,2006-09-16 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-16 00:00:00,2.1655215e-08
185,2006-09-16 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-16 06:00:00,1.1932858e-08
186,2006-09-16 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-16 12:00:00,2.1279796e-08
187,2006-09-16 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-16 18:00:00,2.1586196e-08
188,2006-09-17 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-17 00:00:00,1.4020269e-08
189,2006-09-17 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-17 06:00:00,1.0656926e-08
190,2006-09-17 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-17 12:00:00,9.977377e-09
191,2006-09-17 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-17 18:00:00,7.6259e-09
192,2006-09-18 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-18 00:00:00,1.0568005e-08
193,2006-09-18 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-18 06:00:00,1.0303221e-08
194,2006-09-18 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-18 12:00:00,1.9568673e-09
195,2006-09-18 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-18 18:00:00,8.84095e-10
196,2006-09-19 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-19 00:00:00,1.8643373e-08
197,2006-09-19 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-19 06:00:00,1.3741488e-08
198,2006-09-19 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-19 12:00:00,3.522528e-11
199,2006-09-19 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-19 18:00:00,3.6482883e-10
200,2006-09-20 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-20 00:00:00,8.341296e-09
201,2006-09-20 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-20 06:00:00,5.594117e-09
202,2006-09-20 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-20 12:00:00,1.9937345e-09
